timestamp,base_name,wear,category,uu_keyword,market_hash_name,matched,data_quality_flag,error,cs_lowest_ask_usd,cs_highest_bid_usd,cs_bid_depth,cs_vol24h,cs_asp24h,uu_lowest_ask_cny,uu_lowest_ask_usd,uu_highest_bid_cny,uu_highest_bid_usd,uu_bid_depth,uu_listings,spread_to_cs_lowest_pct,spread_to_cs_bid_pct,profit_margin_pct,instant_exit_margin_pct,cs_liquidity_score,uu_supply_score,demand_score,data_quality_score,risk_score,opportunity_score,recommendation_label
1779543826,Sport Gloves | Hedge Maze,ft,normal,树篱迷宫,★ Sport Gloves | Hedge Maze (Field-Tested),True,ok,,3863.960000,3530.000000,1,1,3605.310000,25279.500000,3539.130000,24660.000000,3452.400000,1,10,0.091782,-0.002580,0.091782,-0.002580,0.194274,0.416589,0.176291,1.000000,0.718114,0.081863,avoid
1779543832,Moto Gloves | Turtle,ft,normal,玳瑁,★ Moto Gloves | Turtle (Field-Tested),True,ok,,73.290000,39.000000,1,20,83.894000,462.500000,64.750000,456.000000,63.840000,1,10,0.131892,-0.397683,0.131892,-0.397683,0.582998,0.416589,0.624819,1.000000,0.620933,0.288186,avoid
1779543836,Sport Gloves | Nocts,ft,normal,夜行衣,★ Sport Gloves | Nocts (Field-Tested),True,ok,,300.000000,685.000000,2,40,670.581500,3720.000000,520.800000,3580.000000,501.200000,1,10,-0.423963,0.315284,-0.423963,0.315284,0.740216,0.416589,0.752441,1.000000,0.181628,0.790875,strong_candidate
1779543841,Sport Gloves | Vice,ft,normal,迈阿密风云,★ Sport Gloves | Vice (Field-Tested),True,ok,,73.640000,433.000000,1,38,663.855526,3083.500000,431.690000,3060.000000,428.400000,1,10,-0.829415,0.003035,-0.829415,0.003035,0.685336,0.416589,0.742901,1.000000,0.345348,0.403125,low_priority
1779543846,Sport Gloves | Superconductor,ft,normal,超导体,★ Sport Gloves | Superconductor (Field-Tested),True,ok,,620.000000,2130.000000,1,3,2028.960000,12299.500000,1721.930000,11800.000000,1652.000000,1,10,-0.639939,0.236984,-0.639939,0.236984,0.308863,0.416589,0.308510,1.000000,0.289466,0.572684,watchlist
1779543851,Sport Gloves | Omega,ft,normal,欧米伽,★ Sport Gloves | Omega (Field-Tested),True,ok,,197.210000,194.000000,1,33,252.394242,1365.500000,191.170000,1340.000000,187.600000,4,10,0.031595,0.014804,0.031595,0.014804,0.662654,0.486502,0.774991,1.000000,0.337036,0.453717,low_priority
1779543856,Sport Gloves | Amphibious,ft,normal,双栖,★ Sport Gloves | Amphibious (Field-Tested),True,ok,,216.360000,460.000000,1,35,387.966857,2230.000000,312.200000,2200.000000,308.000000,1,10,-0.306983,0.473414,-0.306983,0.473414,0.672103,0.416589,0.727633,1.000000,0.198656,0.765480,strong_candidate
1779543861,Sport Gloves | Slingshot,ft,normal,弹弓,★ Sport Gloves | Slingshot (Field-Tested),True,ok,,347.890000,349.000000,1,25,429.569200,2488.000000,348.320000,2460.000000,344.400000,1,10,-0.001234,0.001952,-0.001234,0.001952,0.618305,0.416589,0.665558,1.000000,0.362106,0.363759,low_priority
1779543865,Sport Gloves | Scarlet Shamagh,ft,normal,猩红头巾,★ Sport Gloves | Scarlet Shamagh (Field-Tested),True,ok,,197.250000,193.000000,1,25,229.166800,1392.000000,194.880000,1340.000000,187.600000,1,10,0.012161,-0.009647,0.012161,-0.009647,0.618305,0.416589,0.665558,1.000000,0.612106,0.306926,avoid
1779543870,Moto Gloves | Finish Line,ft,normal,终点线,★ Moto Gloves | Finish Line (Field-Tested),True,ok,,115.090000,108.000000,2,7,133.017143,767.900000,107.506000,761.000000,106.540000,1,10,0.070545,0.004595,0.070545,0.004595,0.470065,0.416589,0.440729,1.000000,0.399166,0.283571,low_priority
1779543875,Moto Gloves | Spearmint,ft,normal,薄荷,★ Moto Gloves | Spearmint (Field-Tested),True,ok,,2179.970000,1770.000000,1,2,2589.425000,13299.000000,1861.860000,12580.000000,1761.200000,1,10,0.170856,-0.049338,0.170856,-0.049338,0.261305,0.416589,0.253634,1.000000,0.701356,0.117441,avoid
1779543879,Specialist Gloves | Tiger Strike,ft,normal,老虎精英,★ Specialist Gloves | Tiger Strike (Field-Tested),True,ok,,170.560000,162.000000,1,12,191.786667,1188.000000,166.320000,1140.000000,159.600000,1,10,0.025493,-0.025974,0.025493,-0.025974,0.503716,0.416589,0.533340,1.000000,0.640753,0.246105,avoid
1779543884,Specialist Gloves | Buckshot,ft,normal,狩鹿,★ Specialist Gloves | Buckshot (Field-Tested),True,ok,,45.090000,52.500000,1,23,59.798261,353.000000,49.420000,350.000000,49.000000,4,10,-0.087616,0.062323,-0.087616,0.062323,0.605073,0.486502,0.708551,1.000000,0.201431,0.619473,watchlist
1779543888,Sport Gloves | Pandora's Box,ft,normal,潘多拉之盒,★ Sport Gloves | Pandora's Box (Field-Tested),True,ok,,3414.770000,3110.000000,1,11,3943.371818,21860.000000,3060.400000,21250.000000,2975.000000,1,10,0.115792,0.016207,0.115792,0.016207,0.490483,0.416589,0.518071,1.000000,0.394061,0.345806,low_priority
1779543893,Sport Gloves | Big Game,ft,normal,大型猎物,★ Sport Gloves | Big Game (Field-Tested),True,ok,,152.480000,138.000000,1,23,159.003043,988.000000,138.320000,954.000000,133.560000,1,10,0.102371,-0.002313,0.102371,-0.002313,0.605073,0.416589,0.650290,1.000000,0.615414,0.299902,avoid
1779543898,Specialist Gloves | Lt. Commander,ft,normal,陆军少尉长官,★ Specialist Gloves | Lt. Commander (Field-Tested),True,ok,,115.750000,111.000000,1,10,123.457000,792.500000,110.950000,790.000000,110.600000,5,10,0.043263,0.000451,0.043263,0.000451,0.476099,0.500414,0.571328,1.000000,0.380893,0.308730,low_priority
1779543903,Driver Gloves | Black Tie,ft,normal,西装革履,★ Driver Gloves | Black Tie (Field-Tested),True,ok,,136.500000,127.000000,1,27,166.918148,917.000000,128.380000,889.000000,124.460000,1,10,0.063250,-0.010749,0.063250,-0.010749,0.630557,0.416589,0.679694,1.000000,0.609043,0.313428,avoid
1779543907,Moto Gloves | Transport,ft,normal,交运,★ Moto Gloves | Transport (Field-Tested),True,ok,,42.300000,41.500000,2,10,45.197000,280.000000,39.200000,274.000000,38.360000,1,10,0.079082,0.058673,0.079082,0.058673,0.522711,0.416589,0.501474,1.000000,0.236004,0.530788,watchlist
1779543912,Specialist Gloves | Field Agent,ft,normal,一线特工,★ Specialist Gloves | Field Agent (Field-Tested),True,ok,,125.480000,110.000000,1,26,160.768846,879.000000,123.060000,872.000000,122.080000,1,10,0.019665,-0.106127,0.019665,-0.106127,0.624544,0.416589,0.672757,1.000000,0.610546,0.310237,avoid
1779543917,Specialist Gloves | Fade,ft,normal,渐变之色,★ Specialist Gloves | Fade (Field-Tested),True,ok,,120.080000,310.000000,1,27,235.849259,1290.000000,180.600000,1270.000000,177.800000,3,10,-0.335105,0.716501,-0.335105,0.716501,0.630557,0.469476,0.723767,1.000000,0.198466,0.759647,strong_candidate
