timestamp,base_name,wear,category,uu_keyword,market_hash_name,matched,data_quality_flag,error,cs_lowest_ask_usd,cs_highest_bid_usd,cs_bid_depth,cs_vol24h,cs_asp24h,uu_lowest_ask_cny,uu_lowest_ask_usd,uu_highest_bid_cny,uu_highest_bid_usd,uu_bid_depth,uu_listings,uu_bid_reference,uu_bid_depth_reference,spread_to_cs_lowest_usd,spread_to_cs_lowest_pct,spread_to_cs_bid_usd,spread_to_cs_bid_pct,cny_to_usd
1779544038,Moto Gloves | 3rd Commando Company,ft,normal,第三特种兵连,★ Moto Gloves | 3rd Commando Company (Field-Tested),True,ok,,46.090000,44.300000,1,3,46.493333,293.000000,41.020000,293.000000,41.020000,3,10,360.000000,11,5.070000,0.123598,3.280000,0.079961,0.140000
1779544045,Sport Gloves | Bronze Morph,ft,normal,青铜形态,★ Sport Gloves | Bronze Morph (Field-Tested),True,ok,,109.350000,103.000000,1,13,108.693077,748.500000,104.790000,742.000000,103.880000,6,10,775.000000,27,4.560000,0.043516,-1.790000,-0.017082,0.140000
1779544051,Driver Gloves | King Snake,ft,normal,王蛇,★ Driver Gloves | King Snake (Field-Tested),True,ok,,148.770000,140.000000,1,35,204.484286,1005.500000,140.770000,1000.000000,140.000000,12,10,2030.000000,20,8.000000,0.056830,-0.770000,-0.005470,0.140000
1779544056,Moto Gloves | Polygon,ft,normal,多边形,★ Moto Gloves | Polygon (Field-Tested),True,ok,,120.900000,115.000000,1,24,138.455000,817.000000,114.380000,796.000000,111.440000,1,10,1000.000000,22,6.520000,0.057003,0.620000,0.005421,0.140000
1779544062,Driver Gloves | Racing Green,ft,normal,墨绿色调,★ Driver Gloves | Racing Green (Field-Tested),True,ok,,35.830000,34.500000,1,27,37.731111,245.000000,34.300000,242.000000,33.880000,2,10,288.000000,10,1.530000,0.044606,0.200000,0.005831,0.140000
1779544068,Specialist Gloves | Foundation,ft,normal,元勋,★ Specialist Gloves | Foundation (Field-Tested),True,ok,,846.590000,690.000000,1,0,0.000000,4900.000000,686.000000,4810.000000,673.400000,1,10,4810.000000,42,160.590000,0.234096,4.000000,0.005831,0.140000
1779544072,Moto Gloves | Blood Pressure,ft,normal,血压,★ Moto Gloves | Blood Pressure (Field-Tested),True,ok,,132.680000,123.000000,1,24,155.913750,884.000000,123.760000,833.000000,116.620000,2,10,1110.000000,12,8.920000,0.072075,-0.760000,-0.006141,0.140000
1779544078,Hydra Gloves | Mangrove,ft,normal,红树林,★ Hydra Gloves | Mangrove (Field-Tested),True,ok,,35.670000,33.700000,2,15,34.520667,236.480000,33.107200,235.000000,32.900000,3,10,235.000000,13,2.562800,0.077409,0.592800,0.017905,0.140000
1779544083,Hydra Gloves | Case Hardened,ft,normal,表面淬火,★ Hydra Gloves | Case Hardened (Field-Tested),True,ok,,8.030000,64.200000,1,24,88.414583,440.500000,61.670000,409.000000,57.260000,1,10,423.000000,19,-53.640000,-0.869791,2.530000,0.041025,0.140000
1779544095,Driver Gloves | Queen Jaguar,ft,normal,美洲豹女王,★ Driver Gloves | Queen Jaguar (Field-Tested),True,ok,,58.510000,54.900000,1,24,66.869167,372.500000,52.150000,369.000000,51.660000,1,10,514.000000,15,6.360000,0.121956,2.750000,0.052733,0.140000
